1,Charlotte
2,Atlanta
3,Washington D.C.
4,Pittsburgh
5,New York
6,Jacksonville
7,Nashvillecl
8,Boston
9,Columbus
10,Rochester
11,Chicago
12,Detroit
13,Minneapolis
14,Seattle
15,Los Angeles
16,Portland
17,New Orleans
18,Des Moines
19,San Francisco
20,Salt Lake City
21,Denver
22,Phoenix
23,Austin
24,Dallas
25,Santa Fe
26,Toronto
27,Montréal
28,Vancouver
29,Ottawa
30,Calgary
31,Edmonton
32,Hamilton
33,Winnipeg
34,Québec
35,Oshawa
36,Kitchener
37,Halifax
38,London
39,Windsor
40,Victoria
41,Saskatoon
42,Barrie
43,Regina
44,Sudbury
45,Abbotsford
46,Sarnia
47,Sherbrooke
48,Saint John’s
49,Kelowna
50,Trois-Rivières
51,Kingston
52,Thunder Bay
53,Moncton
54,Saint John
55,Nanaimo
56,Peterborough
57,Saint-Jérôme
58,Red Deer
59,Lethbridge
60,Kamloops
61,Prince George
62,Medicine Hat
63,Drummondville
64,Chicoutimi
65,Fredericton
66,Chilliwack
67,North Bay
68,Shawinigan-Sud
69,Cornwall
70,Joliette
71,Belleville
72,Charlottetown
73,Victoriaville
74,Grande Prairie
75,Penticton
76,Sydney
77,Orillia
78,Rimouski
79,Timmins
80,Prince Albert
81,Campbell River
82,Courtenay
83,Orangeville
84,Moose Jaw
85,Brandon
86,Brockville
87,Saint-Georges
88,Sept-Îles
89,Rouyn-Noranda
90,Whitehorse
91,Owen Sound
92,Fort McMurray
93,Corner Brook
94,Val-d’Or
95,New Glasgow
96,Terrace
97,North Battleford
98,Yellowknife
99,Fort Saint John
100,Cranbrook
101,Edmundston
102,Rivière-du-Loup
103,Camrose
104,Pembroke
105,Yorkton
106,Swift Current
107,Prince Rupert
108,Williams Lake
109,Brooks
110,Quesnel
111,Thompson
112,Dolbeau
113,Powell River
114,Wetaskiwin
115,Nelson
116,Mont-Laurier
117,Kenora
118,Dawson Creek
119,Amos
120,Baie-Comeau
121,Hinton
122,Selkirk
123,Steinbach
124,Weyburn
125,Amherst
126,Kapuskasing
127,Dauphin
128,Dryden
129,Revelstoke
130,Happy Valley
131,Banff
132,Yarmouth
133,La Sarre
134,Parry Sound
135,Stephenville
136,Antigonish
137,Flin Flon
138,Fort Nelson
139,Smithers
140,Iqaluit
141,Bathurst
142,The Pas
143,Norway House
144,Meadow Lake
145,Vegreville
146,Stettler
147,Peace River
148,New Liskeard
149,Hearst
150,Creston
151,Marathon
152,Cochrane
153,Kindersley
154,Liverpool
155,Melville
156,Channel-Port aux Basques
157,Deer Lake
158,Saint-Augustin
159,Digby
160,Jasper
161,Hay River
162,Windsor
163,La Ronge
164,Deer Lake
165,Gaspé
166,Atikokan
167,Gander
168,Fort Chipewyan
169,Shelburne
170,Inuvik
171,Lac La Biche
172,Lillooet
173,Chapleau
174,Burns Lake
175,Gimli
176,Athabasca
177,Nelson House
178,Rankin Inlet
179,Port Hardy
180,Biggar
181,Wiarton
182,Wawa
183,Hudson Bay
184,Matagami
185,Arviat
186,Attawapiskat
187,Red Lake
188,Moosonee
189,Tofino
190,Igloolik
191,Inukjuak
192,Little Current
193,Baker Lake
194,Pond Inlet
195,Cap-Chat
196,Cambridge Bay
197,Thessalon
198,New Bella Bella
199,Cobalt
200,Cape Dorset
201,Pangnirtung
202,West Dawson
203,Kugluktuk
204,Geraldton
205,Gillam
206,Kuujjuaq
207,Lake Louise
208,Nipigon
209,Nain
210,Gjoa Haven
211,Fort McPherson
212,Argentia
213,Norman Wells
214,Churchill
215,Repulse Bay
216,Tuktoyaktuk
217,Berens River
218,Shamattawa
219,Baddeck
220,Coral Harbour
221,La Scie
222,Watson Lake
223,Taloyoak
224,Natashquan
225,Buchans
226,Hall Beach
227,Arctic Bay
228,Fort Good Hope
229,Mingan
230,Kangirsuk
231,Sandspit
232,Délįne
233,Fort Smith
234,Cartwright
235,Holman
236,Lynn Lake
237,Schefferville
238,Trout River
239,Forteau Bay
240,Fort Resolution
241,Hopedale
242,Pukatawagan
243,Trepassey
244,Kimmirut
245,Chesterfield Inlet
246,Eastmain
247,Dease Lake
248,Paulatuk
249,Fort Simpson
250,Brochet
251,Cat Lake
252,Radisson
253,Port-Menier
254,Resolute
255,Saint Anthony
256,Port Hope Simpson
257,Oxford House
258,Tsiigehtchic
259,Ivujivik
260,Stony Rapids
261,Alert
262,Fort Severn
263,Rigolet
264,Lansdowne House
265,Salluit
266,Łutselk’e
267,Uranium City
268,Burwash Landing
269,Grise Fiord
270,Big Beaverhouse
271,Island Lake
272,Ennadai